2020-11-21 23:04:27,013 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /atcrowdfunding04-admin-entity/src/main/resources
2020-11-21 23:04:27,014 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /atcrowdfunding04-admin-entity/src/test/java
2020-11-21 23:04:27,014 [Worker-52] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /atcrowdfunding04-admin-entity/src/test/resources
2020-11-21 23:04:27,437 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:04:27,445 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:04:27,445 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-21 23:04:27,453 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-21 23:04:28,526 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding01-admin-parent:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding01-admin-parent\pom.xml.
2020-11-21 23:04:29,246 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding02-admin-webui:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding01-admin-parent\atcrowdfunding02-admin-webui\pom.xml.
2020-11-21 23:04:29,457 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding03-admin-component:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding01-admin-parent\atcrowdfunding03-admin-component\pom.xml.
2020-11-21 23:04:29,605 [Worker-52] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.atguigu.crowd:atcrowdfunding04-admin-entity:0.0.1-SNAPSHOT @ D:\04_Eclipse_workspace\sgproject\atcrowdfunding01-admin-parent\atcrowdfunding04-admin-entity\pom.xml.
2020-11-21 23:04:31,314 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
